Current state,Previous residence,Persons
ARUNACHAL PRADESH,Uttarakhand,450
ARUNACHAL PRADESH,Haryana,527
ARUNACHAL PRADESH,NCT of Delhi,311
ARUNACHAL PRADESH,Rajasthan,1498
ARUNACHAL PRADESH,Uttar Pradesh,6054
ARUNACHAL PRADESH,Bihar,18811
ARUNACHAL PRADESH,Sikkim,234
ARUNACHAL PRADESH,Arunachal Pradesh,0
ARUNACHAL PRADESH,Nagaland,1218
ARUNACHAL PRADESH,Manipur,1465
ARUNACHAL PRADESH,Mizoram,298
ARUNACHAL PRADESH,Tripura,855
ARUNACHAL PRADESH,Meghalaya,1143
ARUNACHAL PRADESH,Assam,88963
ARUNACHAL PRADESH,West Bengal,6966
ARUNACHAL PRADESH,Jharkhand,1308
ARUNACHAL PRADESH,Odisha,1613
ARUNACHAL PRADESH,Chhattisgarh,138
ARUNACHAL PRADESH,Madhya Pradesh,252
ARUNACHAL PRADESH,Gujarat,94
ARUNACHAL PRADESH,Daman & Diu,0
ARUNACHAL PRADESH,Dadra & Nagar Haveli,1
ARUNACHAL PRADESH,Maharashtra,421
ARUNACHAL PRADESH,Andhra Pradesh,383
ARUNACHAL PRADESH,Karnataka,191
ARUNACHAL PRADESH,Goa,22
ARUNACHAL PRADESH,Lakshadweep,4
ARUNACHAL PRADESH,Kerala,1397
ARUNACHAL PRADESH,Tamil Nadu,305
ARUNACHAL PRADESH,Puducherry,6
ARUNACHAL PRADESH,Andaman & Nicobar Islands,2
ARUNACHAL PRADESH,Afganistan,0
ARUNACHAL PRADESH,Bangladesh,4022
ARUNACHAL PRADESH,Bhutan,253
ARUNACHAL PRADESH,China,229
ARUNACHAL PRADESH,Indonesia,0
ARUNACHAL PRADESH,Iran,0
ARUNACHAL PRADESH,Iraq,0
ARUNACHAL PRADESH,Japan,0
ARUNACHAL PRADESH,Kuwait,0
ARUNACHAL PRADESH,Malaysia,0
ARUNACHAL PRADESH,Maldives,0
ARUNACHAL PRADESH,Mayanmar,308
ARUNACHAL PRADESH,Nepal,5216
ARUNACHAL PRADESH,Pakistan,147
ARUNACHAL PRADESH,Saudi Arabia,0
ARUNACHAL PRADESH,Singapore,1
ARUNACHAL PRADESH,Sri Lanka,0
ARUNACHAL PRADESH,Turkey,0
ARUNACHAL PRADESH,United Arab Emirates,0
ARUNACHAL PRADESH,Kazakstan,0
ARUNACHAL PRADESH,Vietnam,0
ARUNACHAL PRADESH,Countries in Europe,56
ARUNACHAL PRADESH,France,0
ARUNACHAL PRADESH,Germany,0
ARUNACHAL PRADESH,Portugal,0
ARUNACHAL PRADESH,UK,7
ARUNACHAL PRADESH,Kenya,0
ARUNACHAL PRADESH,Mauritius,0
ARUNACHAL PRADESH,Nigeria,0
ARUNACHAL PRADESH,Uganda,0
ARUNACHAL PRADESH,Zambia,0
ARUNACHAL PRADESH,Canada,0
ARUNACHAL PRADESH,U.S.A.,1
ARUNACHAL PRADESH,Australia,0
ARUNACHAL PRADESH,Fiji,0
NAGALAND,Jammu & Kashmir,375
NAGALAND,Himachal Pradesh,309
NAGALAND,Punjab,470
NAGALAND,Chandigarh,42
NAGALAND,Uttarakhand,751
NAGALAND,Haryana,442
NAGALAND,NCT of Delhi,10
NAGALAND,Rajasthan,2480
NAGALAND,Uttar Pradesh,4076
NAGALAND,Bihar,17539
NAGALAND,Sikkim,145
NAGALAND,Arunachal Pradesh,900
NAGALAND,Nagaland,0
NAGALAND,Manipur,14093
NAGALAND,Mizoram,386
NAGALAND,Tripura,2923
NAGALAND,Meghalaya,1792
NAGALAND,Assam,51397
NAGALAND,West Bengal,3746
NAGALAND,Jharkhand,1283
NAGALAND,Odisha,1236
NAGALAND,Chhattisgarh,138
NAGALAND,Madhya Pradesh,294
NAGALAND,Gujarat,103
NAGALAND,Daman & Diu,0
NAGALAND,Dadra & Nagar Haveli,11
NAGALAND,Maharashtra,498
NAGALAND,Andhra Pradesh,407
NAGALAND,Karnataka,540
NAGALAND,Goa,21
NAGALAND,Lakshadweep,6
NAGALAND,Kerala,1165
NAGALAND,Tamil Nadu,412
NAGALAND,Puducherry,15
NAGALAND,Andaman & Nicobar Islands,15
NAGALAND,Afganistan,0
NAGALAND,Bangladesh,132
NAGALAND,Bhutan,25
NAGALAND,China,6
NAGALAND,Indonesia,0
NAGALAND,Iran,0
NAGALAND,Iraq,0
NAGALAND,Japan,1
NAGALAND,Kuwait,0
NAGALAND,Malaysia,1
NAGALAND,Maldives,1
NAGALAND,Mayanmar,312
NAGALAND,Nepal,4689
NAGALAND,Pakistan,18
NAGALAND,Saudi Arabia,0
NAGALAND,Singapore,6
NAGALAND,Sri Lanka,0
NAGALAND,Turkey,0
NAGALAND,United Arab Emirates,3
NAGALAND,Kazakstan,0
NAGALAND,Vietnam,0
NAGALAND,Countries in Europe,120
NAGALAND,France,3
NAGALAND,Germany,1
NAGALAND,Portugal,0
NAGALAND,UK,18
NAGALAND,Kenya,0
NAGALAND,Mauritius,0
NAGALAND,Nigeria,0
NAGALAND,Uganda,0
NAGALAND,Zambia,0
NAGALAND,Canada,1
NAGALAND,U.S.A.,24
NAGALAND,Australia,1
NAGALAND,Fiji,0
MANIPUR,Jammu & Kashmir,218
MANIPUR,Himachal Pradesh,136
MANIPUR,Punjab,102
MANIPUR,Chandigarh,11
MANIPUR,Uttarakhand,81
MANIPUR,Haryana,110
MANIPUR,NCT of Delhi,652
MANIPUR,Rajasthan,706
MANIPUR,Uttar Pradesh,853
MANIPUR,Bihar,2983
MANIPUR,Sikkim,288
MANIPUR,Arunachal Pradesh,114
MANIPUR,Nagaland,1589
MANIPUR,Manipur,0
MANIPUR,Mizoram,1041
MANIPUR,Tripura,766
MANIPUR,Meghalaya,770
MANIPUR,Assam,7720
MANIPUR,West Bengal,638
MANIPUR,Jharkhand,93
MANIPUR,Odisha,87
MANIPUR,Chhattisgarh,10
MANIPUR,Madhya Pradesh,139
MANIPUR,Gujarat,40
MANIPUR,Daman & Diu,0
MANIPUR,Dadra & Nagar Haveli,1
MANIPUR,Maharashtra,286
MANIPUR,Andhra Pradesh,71
MANIPUR,Karnataka,182
MANIPUR,Goa,14
MANIPUR,Lakshadweep,45
MANIPUR,Kerala,118
MANIPUR,Tamil Nadu,203
MANIPUR,Puducherry,0
MANIPUR,Andaman & Nicobar Islands,33
MANIPUR,Afganistan,0
MANIPUR,Bangladesh,407
MANIPUR,Bhutan,5
MANIPUR,China,3
MANIPUR,Indonesia,1
MANIPUR,Iran,0
MANIPUR,Iraq,0
MANIPUR,Japan,1
MANIPUR,Kuwait,0
MANIPUR,Malaysia,0
MANIPUR,Maldives,0
MANIPUR,Mayanmar,254
MANIPUR,Nepal,564
MANIPUR,Pakistan,4
MANIPUR,Saudi Arabia,3
MANIPUR,Singapore,1
MANIPUR,Sri Lanka,0
MANIPUR,Turkey,0
MANIPUR,United Arab Emirates,2
MANIPUR,Kazakstan,0
MANIPUR,Vietnam,0
MANIPUR,Countries in Europe,157
MANIPUR,France,1
MANIPUR,Germany,1
MANIPUR,Portugal,0
MANIPUR,UK,5
MANIPUR,Kenya,0
MANIPUR,Mauritius,0
MANIPUR,Nigeria,0
MANIPUR,Uganda,0
MANIPUR,Zambia,0
MANIPUR,Canada,0
MANIPUR,U.S.A.,5
MANIPUR,Australia,0
MANIPUR,Fiji,0
MIZORAM,Jammu & Kashmir,113
MIZORAM,Himachal Pradesh,34
MIZORAM,Punjab,106
MIZORAM,Chandigarh,8
MIZORAM,Uttarakhand,142
MIZORAM,Haryana,83
MIZORAM,NCT of Delhi,188
MIZORAM,Rajasthan,104
MIZORAM,Uttar Pradesh,477
MIZORAM,Bihar,1404
MIZORAM,Sikkim,43
MIZORAM,Arunachal Pradesh,195
MIZORAM,Nagaland,541
MIZORAM,Manipur,12241
MIZORAM,Mizoram,0
MIZORAM,Tripura,5606
MIZORAM,Meghalaya,2378
MIZORAM,Assam,15056
MIZORAM,West Bengal,646
MIZORAM,Jharkhand,1149
MIZORAM,Odisha,65
MIZORAM,Chhattisgarh,16
MIZORAM,Madhya Pradesh,73
MIZORAM,Gujarat,13
MIZORAM,Daman & Diu,0
MIZORAM,Dadra & Nagar Haveli,0
MIZORAM,Maharashtra,125
MIZORAM,Andhra Pradesh,92
MIZORAM,Karnataka,90
MIZORAM,Goa,7
MIZORAM,Lakshadweep,4
MIZORAM,Kerala,269
MIZORAM,Tamil Nadu,107
MIZORAM,Puducherry,3
MIZORAM,Andaman & Nicobar Islands,2
MIZORAM,Afganistan,0
MIZORAM,Bangladesh,799
MIZORAM,Bhutan,7
MIZORAM,China,3
MIZORAM,Indonesia,0
MIZORAM,Iran,0
MIZORAM,Iraq,0
MIZORAM,Japan,2
MIZORAM,Kuwait,1
MIZORAM,Malaysia,0
MIZORAM,Maldives,0
MIZORAM,Mayanmar,11575
MIZORAM,Nepal,990
MIZORAM,Pakistan,1
MIZORAM,Saudi Arabia,0
MIZORAM,Singapore,0
MIZORAM,Sri Lanka,0
MIZORAM,Turkey,0
MIZORAM,United Arab Emirates,2
MIZORAM,Kazakstan,0
MIZORAM,Vietnam,0
MIZORAM,Countries in Europe,31
MIZORAM,France,0
MIZORAM,Germany,0
MIZORAM,Portugal,0
MIZORAM,UK,12
MIZORAM,Kenya,0
MIZORAM,Mauritius,0
MIZORAM,Nigeria,0
MIZORAM,Uganda,0
MIZORAM,Zambia,0
MIZORAM,Canada,0
MIZORAM,U.S.A.,4
MIZORAM,Australia,2
MIZORAM,Fiji,0
TRIPURA,Jammu & Kashmir,328
TRIPURA,Himachal Pradesh,88
TRIPURA,Punjab,108
TRIPURA,Chandigarh,14
TRIPURA,Uttarakhand,141
TRIPURA,Haryana,116
TRIPURA,NCT of Delhi,250
TRIPURA,Rajasthan,495
TRIPURA,Uttar Pradesh,1518
TRIPURA,Bihar,12063
TRIPURA,Sikkim,18
TRIPURA,Arunachal Pradesh,337
TRIPURA,Nagaland,751
TRIPURA,Manipur,613
TRIPURA,Mizoram,18411
TRIPURA,Tripura,0
TRIPURA,Meghalaya,1309
TRIPURA,Assam,29423
TRIPURA,West Bengal,5349
TRIPURA,Jharkhand,14203
TRIPURA,Odisha,303
TRIPURA,Chhattisgarh,52
TRIPURA,Madhya Pradesh,161
TRIPURA,Gujarat,150
TRIPURA,Daman & Diu,0
TRIPURA,Dadra & Nagar Haveli,10
TRIPURA,Maharashtra,260
TRIPURA,Andhra Pradesh,167
TRIPURA,Karnataka,131
TRIPURA,Goa,7
TRIPURA,Lakshadweep,16
TRIPURA,Kerala,156
TRIPURA,Tamil Nadu,407
TRIPURA,Puducherry,16
TRIPURA,Andaman & Nicobar Islands,7
TRIPURA,Afganistan,0
TRIPURA,Bangladesh,215400
TRIPURA,Bhutan,5
TRIPURA,China,0
TRIPURA,Indonesia,1
TRIPURA,Iran,0
TRIPURA,Iraq,0
TRIPURA,Japan,0
TRIPURA,Kuwait,0
TRIPURA,Malaysia,6
TRIPURA,Maldives,0
TRIPURA,Mayanmar,52
TRIPURA,Nepal,157
TRIPURA,Pakistan,440
TRIPURA,Saudi Arabia,2
TRIPURA,Singapore,0
TRIPURA,Sri Lanka,1
TRIPURA,Turkey,0
TRIPURA,United Arab Emirates,1
TRIPURA,Kazakstan,0
TRIPURA,Vietnam,0
TRIPURA,Countries in Europe,63
TRIPURA,France,0
TRIPURA,Germany,0
TRIPURA,Portugal,0
TRIPURA,UK,6
TRIPURA,Kenya,0
TRIPURA,Mauritius,0
TRIPURA,Nigeria,0
TRIPURA,Uganda,0
TRIPURA,Zambia,0
TRIPURA,Canada,1
TRIPURA,U.S.A.,4
TRIPURA,Australia,0
TRIPURA,Fiji,0
MEGHALAYA,Jammu & Kashmir,601
MEGHALAYA,Himachal Pradesh,294
MEGHALAYA,Punjab,986
MEGHALAYA,Chandigarh,49
MEGHALAYA,Uttarakhand,1191
MEGHALAYA,Haryana,494
MEGHALAYA,NCT of Delhi,2
MEGHALAYA,Rajasthan,1901
MEGHALAYA,Uttar Pradesh,3098
MEGHALAYA,Bihar,14112
MEGHALAYA,Sikkim,145
MEGHALAYA,Arunachal Pradesh,1024
MEGHALAYA,Nagaland,1752
MEGHALAYA,Manipur,6336
MEGHALAYA,Mizoram,2127
MEGHALAYA,Tripura,2868
MEGHALAYA,Meghalaya,0
MEGHALAYA,Assam,61022
MEGHALAYA,West Bengal,5492
MEGHALAYA,Jharkhand,544
MEGHALAYA,Odisha,525
MEGHALAYA,Chhattisgarh,62
MEGHALAYA,Madhya Pradesh,405
MEGHALAYA,Gujarat,216
MEGHALAYA,Daman & Diu,0
MEGHALAYA,Dadra & Nagar Haveli,16
MEGHALAYA,Maharashtra,635
MEGHALAYA,Andhra Pradesh,384
MEGHALAYA,Karnataka,450
MEGHALAYA,Goa,19
MEGHALAYA,Lakshadweep,1
MEGHALAYA,Kerala,810
MEGHALAYA,Tamil Nadu,343
MEGHALAYA,Puducherry,8
MEGHALAYA,Andaman & Nicobar Islands,3
MEGHALAYA,Afganistan,1
MEGHALAYA,Bangladesh,2331
MEGHALAYA,Bhutan,79
MEGHALAYA,China,57
MEGHALAYA,Indonesia,0
MEGHALAYA,Iran,0
MEGHALAYA,Iraq,0
MEGHALAYA,Japan,7
MEGHALAYA,Kuwait,1
MEGHALAYA,Malaysia,0
MEGHALAYA,Maldives,0
MEGHALAYA,Mayanmar,13
MEGHALAYA,Nepal,3577
MEGHALAYA,Pakistan,122
MEGHALAYA,Saudi Arabia,0
MEGHALAYA,Singapore,4
MEGHALAYA,Sri Lanka,0
MEGHALAYA,Turkey,0
MEGHALAYA,United Arab Emirates,0
MEGHALAYA,Kazakstan,0
MEGHALAYA,Vietnam,0
MEGHALAYA,Countries in Europe,43
MEGHALAYA,France,0
MEGHALAYA,Germany,6
MEGHALAYA,Portugal,0
MEGHALAYA,UK,5
MEGHALAYA,Kenya,0
MEGHALAYA,Mauritius,0
MEGHALAYA,Nigeria,0
MEGHALAYA,Uganda,0
MEGHALAYA,Zambia,0
MEGHALAYA,Canada,2
MEGHALAYA,U.S.A.,11
MEGHALAYA,Australia,2
MEGHALAYA,Fiji,0
ASSAM,Jammu & Kashmir,3831
ASSAM,Himachal Pradesh,1827
ASSAM,Punjab,3617
ASSAM,Chandigarh,258
ASSAM,Uttarakhand,1194
ASSAM,Haryana,3225
ASSAM,NCT of Delhi,3040
ASSAM,Rajasthan,27778
ASSAM,Uttar Pradesh,35441
ASSAM,Bihar,147742
ASSAM,Sikkim,1077
ASSAM,Arunachal Pradesh,19486
ASSAM,Nagaland,23707
ASSAM,Manipur,12203
ASSAM,Mizoram,3157
ASSAM,Tripura,39906
ASSAM,Meghalaya,40755
ASSAM,Assam,0
ASSAM,West Bengal,94724
ASSAM,Jharkhand,11139
ASSAM,Odisha,5153
ASSAM,Chhattisgarh,1162
ASSAM,Madhya Pradesh,2478
ASSAM,Gujarat,1271
ASSAM,Daman & Diu,3
ASSAM,Dadra & Nagar Haveli,20
ASSAM,Maharashtra,2557
ASSAM,Andhra Pradesh,4732
ASSAM,Karnataka,991
ASSAM,Goa,52
ASSAM,Lakshadweep,423
ASSAM,Kerala,1437
ASSAM,Tamil Nadu,1193
ASSAM,Puducherry,27
ASSAM,Andaman & Nicobar Islands,93
ASSAM,Afganistan,98
ASSAM,Bangladesh,64137
ASSAM,Bhutan,453
ASSAM,China,7
ASSAM,Indonesia,2
ASSAM,Iran,2
ASSAM,Iraq,2
ASSAM,Japan,5
ASSAM,Kuwait,2
ASSAM,Malaysia,2
ASSAM,Maldives,0
ASSAM,Mayanmar,278
ASSAM,Nepal,8754
ASSAM,Pakistan,3722
ASSAM,Saudi Arabia,1
ASSAM,Singapore,12
ASSAM,Sri Lanka,1
ASSAM,Turkey,0
ASSAM,United Arab Emirates,38
ASSAM,Kazakstan,0
ASSAM,Vietnam,0
ASSAM,Countries in Europe,773
ASSAM,France,0
ASSAM,Germany,4
ASSAM,Portugal,0
ASSAM,UK,57
ASSAM,Kenya,1
ASSAM,Mauritius,0
ASSAM,Nigeria,0
ASSAM,Uganda,0
ASSAM,Zambia,1
ASSAM,Canada,4
ASSAM,U.S.A.,38
ASSAM,Australia,10
ASSAM,Fiji,0
WEST BENGAL,Jammu & Kashmir,5846
WEST BENGAL,Himachal Pradesh,2911
WEST BENGAL,Punjab,18154
WEST BENGAL,Chandigarh,869
WEST BENGAL,Uttarakhand,3599
WEST BENGAL,Haryana,11259
WEST BENGAL,NCT of Delhi,15815
WEST BENGAL,Rajasthan,57668
WEST BENGAL,Uttar Pradesh,238819
WEST BENGAL,Bihar,1103757
WEST BENGAL,Sikkim,11537
WEST BENGAL,Arunachal Pradesh,2322
WEST BENGAL,Nagaland,3170
WEST BENGAL,Manipur,2651
WEST BENGAL,Mizoram,544
WEST BENGAL,Tripura,20497
WEST BENGAL,Meghalaya,7000
WEST BENGAL,Assam,166400
WEST BENGAL,West Bengal,0
WEST BENGAL,Jharkhand,459436
WEST BENGAL,Odisha,142179
WEST BENGAL,Chhattisgarh,8071
WEST BENGAL,Madhya Pradesh,15815
WEST BENGAL,Gujarat,14563
WEST BENGAL,Daman & Diu,22
WEST BENGAL,Dadra & Nagar Haveli,403
WEST BENGAL,Maharashtra,27648
WEST BENGAL,Andhra Pradesh,16707
WEST BENGAL,Karnataka,5536
WEST BENGAL,Goa,484
WEST BENGAL,Lakshadweep,311
WEST BENGAL,Kerala,7149
WEST BENGAL,Tamil Nadu,7932
WEST BENGAL,Puducherry,251
WEST BENGAL,Andaman & Nicobar Islands,1720
WEST BENGAL,Afganistan,137
WEST BENGAL,Bangladesh,1896555
WEST BENGAL,Bhutan,3307
WEST BENGAL,China,210
WEST BENGAL,Indonesia,16
WEST BENGAL,Iran,18
WEST BENGAL,Iraq,16
WEST BENGAL,Japan,42
WEST BENGAL,Kuwait,29
WEST BENGAL,Malaysia,51
WEST BENGAL,Maldives,5
WEST BENGAL,Mayanmar,1542
WEST BENGAL,Nepal,28927
WEST BENGAL,Pakistan,6913
WEST BENGAL,Saudi Arabia,107
WEST BENGAL,Singapore,83
WEST BENGAL,Sri Lanka,50
WEST BENGAL,Turkey,0
WEST BENGAL,United Arab Emirates,209
WEST BENGAL,Kazakstan,2
WEST BENGAL,Vietnam,4
WEST BENGAL,Countries in Europe,4671
WEST BENGAL,France,27
WEST BENGAL,Germany,67
WEST BENGAL,Portugal,4
WEST BENGAL,UK,517
WEST BENGAL,Kenya,8
WEST BENGAL,Mauritius,2
WEST BENGAL,Nigeria,31
WEST BENGAL,Uganda,2
WEST BENGAL,Zambia,1
WEST BENGAL,Canada,53
WEST BENGAL,U.S.A.,809
WEST BENGAL,Australia,60
WEST BENGAL,Fiji,1
JHARKHAND,Jammu & Kashmir,1677
JHARKHAND,Himachal Pradesh,1345
JHARKHAND,Punjab,10387
JHARKHAND,Chandigarh,244
JHARKHAND,Uttarakhand,1396
JHARKHAND,Haryana,3729
JHARKHAND,NCT of Delhi,7643
JHARKHAND,Rajasthan,10240
JHARKHAND,Uttar Pradesh,107724
JHARKHAND,Bihar,1336048
JHARKHAND,Sikkim,125
JHARKHAND,Arunachal Pradesh,185
JHARKHAND,Nagaland,198
JHARKHAND,Manipur,372
JHARKHAND,Mizoram,134
JHARKHAND,Tripura,408
JHARKHAND,Meghalaya,329
JHARKHAND,Assam,4940
JHARKHAND,West Bengal,494609
JHARKHAND,Jharkhand,0
JHARKHAND,Odisha,126320
JHARKHAND,Chhattisgarh,42750
JHARKHAND,Madhya Pradesh,10885
JHARKHAND,Gujarat,5268
JHARKHAND,Daman & Diu,5
JHARKHAND,Dadra & Nagar Haveli,16
JHARKHAND,Maharashtra,9727
JHARKHAND,Andhra Pradesh,8661
JHARKHAND,Karnataka,2159
JHARKHAND,Goa,274
JHARKHAND,Lakshadweep,97
JHARKHAND,Kerala,3905
JHARKHAND,Tamil Nadu,3373
JHARKHAND,Puducherry,83
JHARKHAND,Andaman & Nicobar Islands,265
JHARKHAND,Afganistan,70
JHARKHAND,Bangladesh,3659
JHARKHAND,Bhutan,518
JHARKHAND,China,1312
JHARKHAND,Indonesia,7
JHARKHAND,Iran,4
JHARKHAND,Iraq,2
JHARKHAND,Japan,14
JHARKHAND,Kuwait,13
JHARKHAND,Malaysia,12
JHARKHAND,Maldives,0
JHARKHAND,Mayanmar,135
JHARKHAND,Nepal,4105
JHARKHAND,Pakistan,1516
JHARKHAND,Saudi Arabia,87
JHARKHAND,Singapore,32
JHARKHAND,Sri Lanka,4
JHARKHAND,Turkey,0
JHARKHAND,United Arab Emirates,68
JHARKHAND,Kazakstan,2
JHARKHAND,Vietnam,138
JHARKHAND,Countries in Europe,1787
JHARKHAND,France,3
JHARKHAND,Germany,14
JHARKHAND,Portugal,0
JHARKHAND,UK,62
JHARKHAND,Kenya,36
JHARKHAND,Mauritius,0
JHARKHAND,Nigeria,5
JHARKHAND,Uganda,0
JHARKHAND,Zambia,21
JHARKHAND,Canada,10
JHARKHAND,U.S.A.,147
JHARKHAND,Australia,95
JHARKHAND,Fiji,2
ODISHA,Jammu & Kashmir,8277
ODISHA,Himachal Pradesh,1042
ODISHA,Punjab,6832
ODISHA,Chandigarh,291
ODISHA,Uttarakhand,931
ODISHA,Haryana,5206
ODISHA,NCT of Delhi,8006
ODISHA,Rajasthan,12203
ODISHA,Uttar Pradesh,33063
ODISHA,Bihar,119231
ODISHA,Sikkim,143
ODISHA,Arunachal Pradesh,581
ODISHA,Nagaland,486
ODISHA,Manipur,334
ODISHA,Mizoram,52
ODISHA,Tripura,465
ODISHA,Meghalaya,275
ODISHA,Assam,4732
ODISHA,West Bengal,164699
ODISHA,Jharkhand,167377
ODISHA,Odisha,0
ODISHA,Chhattisgarh,129371
ODISHA,Madhya Pradesh,12725
ODISHA,Gujarat,24420
ODISHA,Daman & Diu,11
ODISHA,Dadra & Nagar Haveli,75
ODISHA,Maharashtra,14902
ODISHA,Andhra Pradesh,122491
ODISHA,Karnataka,4829
ODISHA,Goa,400
ODISHA,Lakshadweep,232
ODISHA,Kerala,4763
ODISHA,Tamil Nadu,6256
ODISHA,Puducherry,149
ODISHA,Andaman & Nicobar Islands,246
ODISHA,Afganistan,12
ODISHA,Bangladesh,23824
ODISHA,Bhutan,53
ODISHA,China,165
ODISHA,Indonesia,5
ODISHA,Iran,11
ODISHA,Iraq,18
ODISHA,Japan,18
ODISHA,Kuwait,11
ODISHA,Malaysia,20
ODISHA,Maldives,4
ODISHA,Mayanmar,161
ODISHA,Nepal,2993
ODISHA,Pakistan,1114
ODISHA,Saudi Arabia,64
ODISHA,Singapore,14
ODISHA,Sri Lanka,26
ODISHA,Turkey,4
ODISHA,United Arab Emirates,53
ODISHA,Kazakstan,0
ODISHA,Vietnam,0
ODISHA,Countries in Europe,622
ODISHA,France,5
ODISHA,Germany,14
ODISHA,Portugal,0
ODISHA,UK,29
ODISHA,Kenya,9
ODISHA,Mauritius,0
ODISHA,Nigeria,8
ODISHA,Uganda,2
ODISHA,Zambia,0
ODISHA,Canada,4
ODISHA,U.S.A.,254
ODISHA,Australia,20
ODISHA,Fiji,1
CHHATTISGARH,Jammu & Kashmir,8321
CHHATTISGARH,Himachal Pradesh,2567
CHHATTISGARH,Punjab,17217
CHHATTISGARH,Chandigarh,310
CHHATTISGARH,Uttarakhand,2509
CHHATTISGARH,Haryana,12807
CHHATTISGARH,NCT of Delhi,9266
CHHATTISGARH,Rajasthan,21188
CHHATTISGARH,Uttar Pradesh,168385
CHHATTISGARH,Bihar,143216
CHHATTISGARH,Sikkim,68
CHHATTISGARH,Arunachal Pradesh,166
CHHATTISGARH,Nagaland,136
CHHATTISGARH,Manipur,81
CHHATTISGARH,Mizoram,30
CHHATTISGARH,Tripura,237
CHHATTISGARH,Meghalaya,107
CHHATTISGARH,Assam,3888
CHHATTISGARH,West Bengal,53766
CHHATTISGARH,Jharkhand,111325
CHHATTISGARH,Odisha,242404
CHHATTISGARH,Chhattisgarh,0
CHHATTISGARH,Madhya Pradesh,276527
CHHATTISGARH,Gujarat,13704
CHHATTISGARH,Daman & Diu,32
CHHATTISGARH,Dadra & Nagar Haveli,14
CHHATTISGARH,Maharashtra,117487
CHHATTISGARH,Andhra Pradesh,42362
CHHATTISGARH,Karnataka,2752
CHHATTISGARH,Goa,177
CHHATTISGARH,Lakshadweep,648
CHHATTISGARH,Kerala,10747
CHHATTISGARH,Tamil Nadu,4879
CHHATTISGARH,Puducherry,33
CHHATTISGARH,Andaman & Nicobar Islands,312
CHHATTISGARH,Afganistan,80
CHHATTISGARH,Bangladesh,15365
CHHATTISGARH,Bhutan,57
CHHATTISGARH,China,632
CHHATTISGARH,Indonesia,7
CHHATTISGARH,Iran,4
CHHATTISGARH,Iraq,2
CHHATTISGARH,Japan,8
CHHATTISGARH,Kuwait,17
CHHATTISGARH,Malaysia,4
CHHATTISGARH,Maldives,0
CHHATTISGARH,Mayanmar,47
CHHATTISGARH,Nepal,1873
CHHATTISGARH,Pakistan,6961
CHHATTISGARH,Saudi Arabia,58
CHHATTISGARH,Singapore,9
CHHATTISGARH,Sri Lanka,11
CHHATTISGARH,Turkey,4
CHHATTISGARH,United Arab Emirates,14
CHHATTISGARH,Kazakstan,8
CHHATTISGARH,Vietnam,5
CHHATTISGARH,Countries in Europe,441
CHHATTISGARH,France,1
CHHATTISGARH,Germany,0
CHHATTISGARH,Portugal,2
CHHATTISGARH,UK,7
CHHATTISGARH,Kenya,27
CHHATTISGARH,Mauritius,4
CHHATTISGARH,Nigeria,5
CHHATTISGARH,Uganda,0
CHHATTISGARH,Zambia,32
CHHATTISGARH,Canada,1
CHHATTISGARH,U.S.A.,43
CHHATTISGARH,Australia,6
CHHATTISGARH,Fiji,1
MADHYA PRADESH,Jammu & Kashmir,12100
MADHYA PRADESH,Himachal Pradesh,5894
MADHYA PRADESH,Punjab,31895
MADHYA PRADESH,Chandigarh,695
MADHYA PRADESH,Uttarakhand,12253
MADHYA PRADESH,Haryana,19224
MADHYA PRADESH,NCT of Delhi,28597
MADHYA PRADESH,Rajasthan,500481
MADHYA PRADESH,Uttar Pradesh,1090881
MADHYA PRADESH,Bihar,125836
MADHYA PRADESH,Sikkim,210
MADHYA PRADESH,Arunachal Pradesh,305
MADHYA PRADESH,Nagaland,278
MADHYA PRADESH,Manipur,566
MADHYA PRADESH,Mizoram,265
MADHYA PRADESH,Tripura,446
MADHYA PRADESH,Meghalaya,417
MADHYA PRADESH,Assam,4901
MADHYA PRADESH,West Bengal,46207
MADHYA PRADESH,Jharkhand,30272
MADHYA PRADESH,Odisha,24038
MADHYA PRADESH,Chhattisgarh,167340
MADHYA PRADESH,Madhya Pradesh,0
MADHYA PRADESH,Gujarat,88702
MADHYA PRADESH,Daman & Diu,287
MADHYA PRADESH,Dadra & Nagar Haveli,60
MADHYA PRADESH,Maharashtra,494312
MADHYA PRADESH,Andhra Pradesh,17375
MADHYA PRADESH,Karnataka,7048
MADHYA PRADESH,Goa,730
MADHYA PRADESH,Lakshadweep,794
MADHYA PRADESH,Kerala,22566
MADHYA PRADESH,Tamil Nadu,9099
MADHYA PRADESH,Puducherry,76
MADHYA PRADESH,Andaman & Nicobar Islands,182
MADHYA PRADESH,Afganistan,21
MADHYA PRADESH,Bangladesh,6895
MADHYA PRADESH,Bhutan,57
MADHYA PRADESH,China,39
MADHYA PRADESH,Indonesia,21
MADHYA PRADESH,Iran,11
MADHYA PRADESH,Iraq,11
MADHYA PRADESH,Japan,19
MADHYA PRADESH,Kuwait,107
MADHYA PRADESH,Malaysia,32
MADHYA PRADESH,Maldives,0
MADHYA PRADESH,Mayanmar,90
MADHYA PRADESH,Nepal,8735
MADHYA PRADESH,Pakistan,27765
MADHYA PRADESH,Saudi Arabia,166
MADHYA PRADESH,Singapore,16
